Judul,Penulis,Pembimbing 1,Pembimbing 2,abstrak,Kata Kunci,Label
SISTEM PENENTUAN STATUS GIZI PASIEN RAWAT INAP MENGGUNAKAN METODE NAÏVE BAYES CLASSIFIER (STUDI KASUS : RSUD DR. H. SLAMET MARTODIRDJO PAMEKASAN),Nur Anggraeni,"Diana Rahmawati, ST.M.T","Firli Irhamni, ST.M.Kom","Di Indonesia masalah perkembangan gizi adalah masalah yang perlu perhatian lebih. Jika seseorang tidak mengetahui tentang status gizinya, maka tidak akan dapat mengontrol berapa banyak jumlah gizi yang dibutuhkan dalam tubuh. Dalam penelitian ini dirancang aplikasi sistem pendukung keputusan yang digunakan untuk menentukan status gizi pasien dan memberikan solusi makanan pada pasien sesuai riwayat penyakit yang di derita pasien. Sistem yang dirancang ini berbasis Web, dan memudahkan pihak admin atau ahli gizi rumah sakit dalam penentuan status gizi pasien. Diharapkan dengan adanya aplikasi ini dapat memberikan efisien dan efektifitas kinerja setiap pihak. Metode yang digunakan dalam penelitian ini menggunakan Naïve Bayes Classifier (NBC). Metode terbaru yang di gunakan untuk memprediksi probabilitas.Metode Naïve bayes Classifier melakukan proses penentuan perhitungan probabilitas status gizi. Dimana dicari nilai probabilitas terbesar yang kemudian menjadi kesimpulan penentuan status gizi. Metode ini dapat diterapkan dalam studi kasus Sistem Penentuan Status Gizi Pasien dengan hasil akurasi terbesar 92%.","Naïve Bayes Classifier, Sistem Pendukung Keputusan, Status Gizi, Web",RPL
SISTEM AUGMENTED REALITY ANIMASI BENDA BERGERAK MENGGUNAKAN FLARTOOLKIT,Septian Rahman Hakim,"Arik Kurniawati, S.Kom., M.T.","Haryanto, S.T., M.T.","Seiring perkembangan teknologi yang ada didunia, muncul teknologi yang disebut augmented reality. Augmented Reality (AR) merupakan upaya untuk menggabungkan dunia maya dan dunia virtual yang dibuat melalui komputer sehingga batas antara keduanya menjadi sangat tipis. Head-Mounted Display (HMD) merupakan contoh hasil dari penelitian tentang Augmented Reality, ini merupakan satu-satunya peralatan dasar dalam teknologi-teknologi terbaru. Seiring berjalannya waktu, augmented reality berkembang pesat sehingga memungkinkan pengembangan aplikasi ini di berbagai bidang. Untuk mengembangkan AR banyak sekali library pendukung yang dapat digunakan. FlarToolKit adalah salah satunya. FlarToolKit merupakan library pendukung augmented reality pada platform flash. Berdasarkan sistem AR animasi benda bergerak yang dibuat adalah animasi bergerak permainan pingpong dimana telah dikolaborasikan dengan augmented reality untuk menggerakkan setiap langkah dari playernya. Interaksi antar obyek tersebut dapat dilihat dari gerak bola yang dapat dipukul dengan obyek virtual yang ditampilkan melalui augmented reality.",-,CAI
APLIKASI KONTROL DAN MONITORING JARINGAN KOMPUTER BERBASIS MOBILE,M. Basith Ardianto,"Drs. Budi Soesilo, MT","Koko Joni, ST","Berjalannya koneksi jaringan komputer dengan lancar dan tanpa gangguan merupakan harapan seluruh penggunanya, terutama pihak yang bertanggung jawab pada bidang itu, yakni administrator jaringan. Namun tidak selamanya koneksi jaringan dapat berjalan dengan lancar tanpa adanya gangguan. Kenyataan di lapangan terutama pada jaringan komputer skala besar, berpotensi besar terjadi gangguan atau bahkan kerusakan koneksi jaringan komputer. Hal ini rata - rata disebabkan banyaknya penggunaan serta padatnya traffic data dalam jaringan komputer itu sendiri. Oleh karena itu untuk menjaga bahkan meningkatkan kualitas layanan koneksi jaringan maka diperlukan adanya akses kontrol dan monitoring pada level administrator jaringan secara real-time berbasis mobile, yang dapat mengatur dan mengetahui informasi tentang koneksi jaringan dan dapat diakses setiap saat. Pihak administrator jaringan dituntut untuk terlebih dahulu mengetahui adanya gangguan atau bahkan terputusnya koneksi jaringan walaupun administrator tidak berada di tempat kontrol dan monitoring, Dengan adanya sistem kontrol dan monitoring berbasis mobile, diharapkan dapat membantu tugas administrator dalam mengontrol dan memantau jaringan serta dalam mengambil kebijakan atas node – node yang terkoneksi pada jaringan yakni memanajemen koneksi, port dan bandwidth setiap saat dan secara mobile. agar dengan segera dapat melakukan pembenahan ketika terjadi gangguan jaringan sebelum pemakai jaringan (klien) melakukan pengaduan atas adanya gangguan.","Algoritma Genetika, Optimasi,  Penjadwalan",RPL
RANCANG BANGUN APLIKASI PROXY SERVER UNTUK ENKRIPSI KODE HTML MENGGUNAKAN ALGORITMA BLOWFISH,"Akhmad Suyandi, S.Kom","Drs. Budi Soesilo, M.T","Hermawan, ST, MT","Web server adalah sebuah perangkat lunak server yang berfungsi menerima permintaan HTTP atau HTTPS dari web client dan mengirimkan jawaban dalam bentuk halaman-halaman web yang umumnya berbentuk dokumen HTML. Dokumen HTML yang dikirim merupakan dokumen yang dibentuk dari bahasa markup yang plaintext. Artinya, dokumen berisi kode-kode HTML murni tanpa proses enkripsi. Tujuan dari penelitan ini adalah membuat sebuah aplikasi proxy server yang menerima permintaan HTTP dari web client dan meneruskannya ke web server. Kemudian aplikasi ini akan menerima respon dari server dan melakukan proses enkripsi pada dokumen HTML terlebih dahulu. Sehingga dokumen HTML yang dikirim kepada web client sudah berbentuk dokumen HTML yang terenkripsi. Web client disini bisa berupa aplikasi seperti Internet Explorer, Mozilla Firefox, atau Opera. Aplikasi-aplikasi tersebut biasa dikenal dengan sebutan web browser. Ketika web browser menerima dokumen HTML yang terenkripsi dari aplikasi proxy server, maka JavaScript Engine yang ada di web browser akan melakukan proses dekripsi sekaligus rendering sehingga dokumen akan ditampilkan sesuai dengan aslinya. Namun apabila kode dari dokumen HTML tersebut dilihat melalui menu view source yang ada di web browser akan didapatkan dokumen HTML yang tetap terenkripsi.",-,CAI
SISTEM INFORMASI PERUSAHAAN OTOBUS SUMBER KENCONO BERBASIS  WEB,Elky Lilik Misdayani,"Fitri Damayanti,S.Kom,M.Kom",-,"Sistem informasi pengolahan data yang dibutuhkan oleh sebuah organisasi dipergunakan untuk tujuan pengumpulan, pengolahan, penyimpanan dan melihat kembali data itu sendiri. Dengan menggunakan Sistem Informasi Perusahaan Otobus  Sumber Kencono proses pencatatan yang dilakukan oleh masing – masing petugas dengan sesuai kebutuhan dapat di selesaikan dengan lebih cepat, tepat dan lengkap dengan hasil akhir yang dapat menginputkan data kerusakan bus, penginputan gaji crew, jadwal keberangkatan bus, informasi lerling crew serta tarif yang diberlakukan oleh perusahaan untuk pengguna jasa (pelanggan) untuk diproses menjadi sebuah laporan. Sistem Informasi ini dapat menangani masalah yang ada pada perusahaan dengan lebih cepat. Sistem ini akan memberikan  informasi yang cepat dan akurat kepada pegawai bengkel bus ada tidaknya bus yang perlu segera ditangani, kasir juga dengan mudah dalam menghitung gaji crew sesuai dengan pendapatan yang diperoleh serta inputan data keberangkatan bus, operasional tidak akan kerepotan dalam menentukan diterima atau tidaknya crew baru dan semua pengguna pelanggan bus dapat mengetahui tarif penumpang tanpa adanya manipulasi.""",-,RPL
IMPLEMENTASI  ALGORITMA PRIM  DAN DEPTH FIRST SEARCH PADA PEMBUATAN MAZE GAME BERBASIS ANDROID OS MOBILE,M Khoiril Anwar,"Cucun Very Angkoso, S.T., M.T.","Arik Kurniawati S. Kom., M.T.","Teknologi mobile game beroperating system open source berkembang dengan sangat pesat. Karena keragaman variasinya, mobile game memiliki banyak peminat dari berbagai kalangan. Hal inilah yang menjadi dasar bagi para pengembang untuk terus mengembangkan mobile game. Pada penelitian ini, sebuah mobile game untuk mengasah kemampuan berfikir telah dikembangkan dengan mengimplementasikan algoritma Prim dan Depth First Search. Dalam pembuatannya, algoritma Prim diterapkan pada saat pembuatan lintasan dari maze sedangkan algoritma Depth First Search diterapkan pada saat melakukan proses pencarian solusinya. Dari hasil pengujian dapat disimpulkan bahwa algoritma Prim dan Depth First Search dapat berfungsi dengan baik pada resolusi screen 320 x 480 pixels dalam pembentukan lintasan dan pencarian solusi dari maze.","Mobile Game, Android, Algoritma Prim, Algoritma Depth First Search",RPL
EKSTRAKSI FITUR BERBASIS TWO DIMENSIONAL LINEAR DISCRIMINANT ANALYSIS  UNTUK PENGENALAN WAJAH,Muhammad Choirur Rozi,"Dr. Arif Muntasa, S.Si.,M.T","Fitri Damayanti, S.Kom.,M.kom","Sistem pengenalan wajah adalah suatu sistem untuk mengenali identitas diri dari seseorang melalui wajah manusia. Teknologi ini mengidentifikasi bagian tubuh manusia yang unik dan tetap seperti wajah manusia. Hal khusus di bidang identifikasi dan pengenalan wajah manusia memanfaatkan pengolahan dan juga analisis citra wajah, yang akan berperan penting dalam proses pengenalan wajah manusia. Sistem ini dapat di manfaatkan dalam suatu sistem keamanan di bidang biometrika. Pada penelitian ini telah di bangun suatu perangkat lunak pengenalan citra wajah manusia menggunakan metode Two Dimensional Linear Discriminant Analysis (2DLDA) untuk menentukan karakteristik dari wajah manusia. Sedangkan pada tahap pengklasifikasian digunakan metode Angular Separation untuk mengukur kemiripan antara data pelatihan (training) dan data uji coba (testing). Melalui proses testing gambar wajah ini dapat di ketahui identitas diri dari seseorang. Dari uji coba aplikasi menggunakan klasifikasi Angular Separation di peroleh akurasi pengenalan benar sebesar  94.5%, pada  lima pose citra wajah pelatihan  dan lima pose citra wajah uji coba (testing) dengan jumlah data masing - masing dua ratus citra wajah manusia yang di ambil dari database ORL dengan menggunakan sepuluh eigen.","Sistem pengenalan wajah, Two Dimensional Linear Discriminant Analysis, Angular Separation",CAI
RANCANG BANGUN GAME PERAWATAN SAPI KARAPAN MENGGUNAKAN METODE FUZZY LOGIC,NURRACHMAT,"Arik Kurniawati, S.Kom., M.T.","Kurniawan Eka Permana, S.Kom., MSc.","Perkembangan game yang semakin pesat, memberikan berbagai alternative bagi peminatnya. Mulai dari bentuk game, cerita maupun media penyajian. Keberadaan game yang menggambarkan budaya Indonesia khususnya daerah kepulauan seperti Madura terhitung sedikit, sehingga dapat dirasa semakin lunturnya kebudayaan Indonesia bagi anak bangsa. Adanya peminat game yang semakin banyak dapat digunakan sebagai sarana pengenalan budaya asli Madura. Sebuah aplikasi game tentang olahraga yang sangat digemari di pulau Madura tersebut seperti Kerapan Sapi adalah sangatlah penting. Untuk itu perlu dibangun aplikasi game kerapan sapi sebagai upaya pelestarian budaya bangsa khususnya pulau Madura. Dengan upaya pembuatan game budaya maka dibangun  game perawatan sapi karapan menggunakan metode logika fuzzy (fuzzy logic), dengan menginputkan parameter kekuatan dan kesehatan sapi karapan untuk menentukan harga jual sapi karapan dalam sebuah game perawatan sapi karapan.","game, kerapan sapi, perawatan sapi kerapan, budaya madura",RPL
SISTEM PENDUKUNG KEPUTUSAN SELEKSI SISWA UNGGULAN RINTISAN SEKOLAH BERTARAF INTERNASIONAL MENGGUNAKAN METODE SAW (SIMPLE ADDITIVE WEIGHTING) (Studi Kasus SMP Negeri 1 Sumenep),Khaifah,"Yeni Kustiyahningsih,S.Kom,M.Kom",-,"Perkembangan dunia pendidikan mendorong para siswa untuk mampu bersaing. SMP Negeri 1 Sumenep merupakan satu-satunya SMP yang memiliki standar internasional (RSBI) yang ada di kabupaten Sumenep. Banyaknya siswa yang mendaftar menjadi siswa kelas RSBI ke SMP Negeri 1 Sumenep menyulitkan bagi pihak yang menyeleksi untuk menentukan siswa yang layak diterima karena penyeleksian siswa dilakukan secara manual oleh pihak sekolah. Pada penelitian ini telah dilakukan pemilihan siswa baru untuk kelas RSBI SMP Negeri 1 Sumenep dengan menggunakan Simple Additive Weighting (SAW). Konsep dasar merode SAW adalah mencari penjumlahan terbobot dari rating kinerja pada setiap alternatif pada semua atribut. Metode SAW membutuhkan proses normalisasi matriks keputusan ke suatu skala yang dapat dibandingkan dengan semua rating alternatif yang ada. Dari hasil uji coba yang telah dilakukan, tingkat kecocokan hasil perangkingan metode SAW yaitu 70%. Sehingga sisten ini dapat dijadikan bahan pertimbangan dalam menyeleksi siswa unggul.","Simple Additive Weighting (SAW), Sistem Pendukung Keputusan (SKP),  Rintisan Sekolah Bertaraf Internasional (RSBI)",CAI
PENERAPAN METODE ANALYTICAL HIERARCHY PROCESS DAN FUZZY MULTI-OBJECTIVE PROGRAMMING UNTUK PEMILIHAN SUPPLIER,Helyatin,"Bain Khusnul K, S.T.,M.Kom","Andharini Dwi C, S.Kom.,M.Kom","Pemilihan  supplier merupakan salah satu isu penting, karena  pemilihan supplier menjadi bagian dari sebuah  supply chain maka hubungan tersebut akan memiliki pengaruh yang sangat besar terhadap kelangsungan produksi.Pada tugas akhir ini dianalisa mengenai  Analytic Hierarchy Process (AHP) dan Fuzzy Multi-Objective Programming (FMOP) untuk pemilihan supplier di Industri Batik Podhek Pemekasan. Perhitungan AHP akan diperoleh nilai bobot tiap kriteria pemilihan supplier yang nantinya akan jadi nilai masukan pada FMOP. FMOP memberikan solusi memaksimalkan dan meminimalkan tujuan.Setelah dilakukan proses perhitungan faktor kriteria yang paling memberikan kontribusi terhadap pemilihan supplier adalah kriteria harga (0.52), kualitas (0.2) dan tingkat cacat (0.2), dan keterlambatan pengiriman (0.08). Dari hasil penelitian diperoleh bahwa supplier paling optimum adalah  Toko Utara. Untuk bahan baku kain dengan batasan pembelian 0 - 500 lembar didapatkan hasil z1 = 380, z2 = 415, z3 = 85, z4 = 250. Untuk bahan baku pewarna dan malan dengan batasan pembelian 0 - 250 kg didapatkan hasil z1 = 0, z2 = 220, z3 = 30, z4 = 125, dan z1 = 147.5, z2 = 225, z3 = 25, z4 = 125.","Supply Chain Management (SCM), pemilihan supplier, Analytical Hierarchy Process, Fuzzy, Multi-Objective Programming",RPL
